,Codigo_Empresas,Codigo_Cliente,Estado_Entrega_Cliente,Codigo_Vendedores,Pedido,produto,Descr_Tabela,qtde,Vr_Unitario,Vr_Total,Data_Pedido,Data_Entrega,Status_Pedido,Tipo_Pedido_Desc
7742,01,71.321.251/0001-16,SP,014,00004989,LF2935,LONA FILTRO AS-240.TE-DUP 400X400 EMB.01 (VEL)    ,30.0,60.0,1800.0,2016-03-15,2016-03-21,2,Orçamento 
7743,01,52.559.499/0001-75,SP,014,00004990,LF3198,LONA FILTRO AS-150.TE-DUP 400X400 EMB.01 (VEL)    ,5.0,65.45,327.25,2016-03-15,2016-03-15,2,Outros    
7744,01,16.532.798/0003-14,PA,013,00004991,TP0003,TELA PROTECAO MASTERPOL 70 2840  X 1300 MM        ,20.0,280.0,5600.0,2016-03-18,2016-03-31,2,Vendas    
7745,01,84.897.123/0001-67,PR,018,00004992,MC0038, MANTA CENTRIFUGA AS-295.CA C-3600 X L-490 MM     ,8.0,105.5,844.0,2016-03-30,2016-04-06,2,Vendas    
7746,01,61.409.892/0003-35,SP,014,00004993,SF0160,SACO FILTRO MALHA 4 C-1900 X L-455                ,200.0,38.32,7664.0,2016-03-23,2016-04-04,2,Vendas    
7747,01,23.759.905/0001-45,MG,015,00004994,LF0016,LONA FILTRO AS-130.CA-DUP 1500X1500 EMB.01(VEL+TIR,20.0,360.0,7200.0,2016-03-22,2016-03-30,2,Vendas    
7748,01,23.759.905/0001-45,MG,015,00004994,LF0289,LONA FILTRO AS-130.CA-DUP 1500X1500 REF.01 (VEL)  ,10.0,360.0,3600.0,2016-03-22,2016-03-30,2,Vendas    
7749,01,39.313.937/0002-33,ES,009,00004996,LF3061,LONA FILTRO AS-295.CA-DUP 630X640 REF.01 (VEL)    ,19.0,70.0,1330.0,2016-03-16,2016-03-18,2,Vendas    
7750,01,39.313.937/0002-33,ES,009,00004996,LF3114,LONA FILTRO AS-295.CA-CAB 630X640 REF.01 (VEL)    ,1.0,70.0,70.0,2016-03-16,2016-03-18,2,Vendas    
7751,01,39.622.121/0001-00,ES,009,00004997,LF0740,LONA FILTRO AS-295.CA-DUP 1000X1000 REF.01 (FUR)  ,4.0,155.0,620.0,2016-03-16,2016-03-18,2,Vendas    
7752,01,10.394.422/0001-42,SP,001,00004998,TM0067,TECIDO METRO AS-210.TE C- 3000 X L- 2300          ,1.0,634.02,634.02,2016-03-17,2016-03-22,2,Vendas    
7753,01,04.265.480/0001-73,SC,005,00004999,LF2680,LONA FILTRO AS-210.TE-DUP 400X400 EMB.01 (FUR)    ,20.0,62.5,1250.0,2016-03-22,2016-03-24,2,Vendas    
7754,01,12.622.125/0001-32,ES,009,00005000,LF0740,LONA FILTRO AS-295.CA-DUP 1000X1000 REF.01 (FUR)  ,100.0,155.0,15500.0,2016-03-17,2016-03-31,2,Orçamento 
7755,01,12.622.125/0001-32,ES,009,00005000,LF2413,LONA FILTRO AS-295.CA-DUP 800 X 800 LISA (FUR)    ,60.0,95.0,5700.0,2016-03-17,2016-03-31,2,Orçamento 
7756,01,12.622.125/0001-32,ES,009,00005000,LF2412,LONA FILTRO AS-275.TE-SOB 800 X 800 LISA (FUR)    ,60.0,65.0,3900.0,2016-03-17,2016-03-31,2,Orçamento 
7757,01,12.622.125/0001-32,ES,009,00005000,LF0804,LONA FILTRO AS-295.CA-CAB 1000X1000 REF.01 (FUR)  ,30.0,155.0,4650.0,2016-03-17,2016-03-31,2,Orçamento 
7758,01,12.622.125/0001-32,ES,009,00005000,LF0805,LONA FILTRO AS-275.TE-CAB 1000X1000 LISA (FUR     ,30.0,80.0,2400.0,2016-03-17,2016-03-31,2,Orçamento 
7759,01,12.622.125/0001-32,ES,009,00005000,LF0739,LONA FILTRO AS-275.TE-SOB 1000X1000 LISA (FUR)    ,60.0,80.0,4800.0,2016-03-17,2016-03-31,2,Orçamento 
7760,01,12.622.125/0001-32,ES,009,00005000,LF2469,LONA FILTRO AS-295.CA-CAB 800X800 LISA (FUR)      ,10.0,95.0,950.0,2016-03-17,2016-03-31,2,Orçamento 
7761,01,71.013.916/0001-24,MG,015,00005001,LF3210,LONA FILTRO AS-130.CA-DUP 1500X1500 EMB.01 (VEL)  ,2.0,304.32,608.64,2016-03-17,2016-03-21,2,Amostra   
7762,01,20.388.757/0001-01,MG,015,00005002,ML0030,MANTA FILTRO AS-615.CA C- 12900 X L- 810          ,1.0,2300.0,2300.0,2016-03-17,2016-03-24,2,Orçamento 
7763,01,01.256.266/0001-62,PR,018,00005003,LF2331,LONA FILTRO AS-210.TE-DUP 400X400 EMB.01 (VEL)    ,15.0,45.0,675.0,2016-03-17,2016-03-24,3,Orçamento 
7764,01,43.338.797/0001-44,SP,014,00005004,LF1960,LONA FILTRO AS-295.CA-DUP 630X630 REF.01 (VEL)    ,62.0,139.4,8642.8,2016-03-18,2016-03-24,2,Vendas    
7765,01,92.660.240/0001-30,RS,005,00005005,AS0440,LONA AIR AS-11/L-690 X E-5.0                      ,20.0,115.04,2300.8,2016-03-18,2016-04-04,2,Vendas    
7766,01,92.660.240/0001-30,RS,005,00005006,AS0445,LONA AIR AS-11/L- 1000 X E- 5.0                   ,10.0,166.73,1667.3,2016-03-18,2016-04-04,2,Vendas    
7767,01,92.660.240/0001-30,RS,005,00005007,AS0272,LONA AIR AS-11/L-500 X E-5.0                      ,10.0,83.36,833.6,2016-03-18,2016-04-04,2,Vendas    
7768,01,92.660.240/0001-30,RS,005,00005008,AS0441,LONA AIR AS-11/L-730 X E-5.0                      ,10.0,121.72,1217.2,2016-03-18,2016-04-04,2,Vendas    
7769,01,10.917.819/0036-00,MG,015,00005009,AS0171,LONA AIR AST-11 / L-385  X E-5.0                  ,21.0,88.9,1866.9,2016-03-21,2016-03-24,2,Vendas    
7770,01,52.742.277/0001-93,SP,014,00005010,LF0940,LONA FILTRO AS-101.CA-DUP 630X630 LISA (VEL)      ,50.0,145.98,7299.0,2016-03-31,2016-04-08,2,Vendas    
7771,01,21.228.861/0001-00,MG,015,00005011,LF0163,LONA FILTRO AS-295.CA-DUP 1000X1000 EMB.01 (FUR)  ,35.0,120.0,4200.0,2016-03-21,2016-03-28,2,Orçamento 
7772,01,04.898.425/0002-00,PA,013,00005012,AS0080,LONA AIR AST-11/L-580 X E-5.0                     ,30.0,123.4,3702.0,2016-03-21,2016-03-24,2,Vendas    
7773,01,06.055.391/0001-28,SP,014,00005013,LF2910,LONA FILTRO AS-210.TE-DUP 410X410 REF.01 (VEL)    ,15.0,62.57,938.55,2016-03-23,2016-03-28,3,Orçamento 
7774,01,06.055.391/0001-28,SP,014,00005013,DF0086,DISCO FILTRO AS-210.TE D- 80 MM                   ,50.0,9.42,471.0,2016-03-23,2016-03-28,3,Orçamento 
7775,01,29.737.368/0034-87,SP,014,00005014,LF2654,LONA FILTRO AS-130.CA-DUP 800X800 EMB.01 (VEL)    ,27.0,107.35,2898.45,2016-03-23,2016-03-29,2,Vendas    
7776,01,29.737.368/0034-87,SP,014,00005014,LF2727,LONA FILTRO AS-130.CA-CAB 800X800 EMB.01 (FUR)    ,2.0,55.66,111.32,2016-03-23,2016-03-29,2,Vendas    
7777,01,06.880.197/0001-87,ES,009,00005015,LF1042,LONA FILTRO AS-295.CA-DUP 400 X 400 LISA (VEL)    ,13.0,77.55,1008.15,2016-03-22,2016-03-30,2,Vendas    
7778,01,06.880.197/0001-87,ES,009,00005015,LF1407,LONA FILTRO AS-295.CA-CAB 400 X 400 LISA (FUR)    ,1.0,77.55,77.55,2016-03-22,2016-03-30,2,Vendas    
